Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
asRNA:CR45549	5	6	2	2	6	3	
DNApol-iota	1239	1139	720	809	1243	1122	
Ada2b	2629	2634	1631	1644	2399	2212	
CG9636	5493	5176	3456	3662	5179	4663	
CG18749	0	0	0	0	0	0	
CG33722	0	0	0	0	0	0	
CG15864	502	454	391	187	342	312	
mtg	871	873	568	419	749	714	
CR18228	47	41	35	35	65	49	
RpA-70	8211	7446	4919	4542	6307	5598	
Mcm2	6187	5508	3570	4342	6311	5501	
CG9630	1286	1243	739	886	1172	1078	
ato	806	802	502	777	1198	1040	
lncRNA:CR44318	1	1	0	0	1	0	
CG11671	5	3	0	1	6	8	
CG11672	13	340	4	1	441	66	
CG31464	2	60	0	1	93	24	
CG31463	1	1	1	0	0	3	
CG9626	53	61	32	49	60	50	
mRpL1	1446	1339	831	821	1344	1180	
nac	651	625	356	403	612	522	
Sgt1	2714	2658	1700	1392	2345	2265	
tex	1521	1489	808	1114	1634	1522	
mir-4918	0	0	0	0	0	0	
CG11693	1	0	0	0	2	0	
CG11694	0	0	0	0	0	0	
CG11698	0	0	0	1	0	0	
CG7483	6517	6616	3621	4649	6869	6317	
Coq2	342	348	244	227	344	273	
lncRNA:CR45215	1	3	2	0	0	2	
Ctr1B	32	62	11	15	18	30	
Poxm	226	258	119	138	295	240	
Or85a	1	3	0	1	3	2	
CG7443	0	0	1	0	0	1	
COX7A	7197	7139	4595	4569	7004	5842	
Arl2	921	910	559	633	843	779	
CG9601	1445	1295	939	859	1122	1038	
COX7AL	0	2	0	1	13	9	
DppIII	13586	13922	8023	8641	13373	12071	
CG7352	473	474	351	229	419	318	
mir-9380	0	0	0	0	0	0	
Atg13	2160	2170	1313	1509	2466	1991	
stck	3822	3629	2073	2417	3665	3148	
CG9684	1952	2014	1340	1039	1742	1429	
CG7963	3	1	2	1	3	3	
CG45263	2986	2798	1899	1696	2598	2267	
lncRNA:CR46126	3	0	1	0	1	1	
Obp85a	0	0	0	2	1	2	
lncRNA:CR46125	0	0	0	0	0	1	
Or85b	1	0	0	0	0	2	
Or85c	0	0	1	1	0	1	
lncRNA:CR46228	0	0	0	0	1	0	
CG11737	1354	1496	865	962	1493	1493	
CG31454	23	23	18	19	25	18	
CG31259	4	8	3	3	2	15	
CG11741	0	3	1	1	2	2	
lncRNA:CR45575	0	0	0	0	0	0	
lncRNA:CR45574	0	0	0	0	0	0	
Or85d	0	0	0	0	0	0	
pch2	5964	5798	3303	3953	6138	5526	
mRpS18A	1119	1009	729	902	1365	1166	
CG31460	5	9	7	4	7	4	
asRNA:CR44291	39	31	34	49	77	72	
Cenp-C	4037	3850	2992	2847	4313	3678	
5-HT2B	160	129	102	104	133	122	
lncRNA:CR46124	0	0	0	0	0	0	
Or85e	1	0	0	0	0	0	
tRNA:Tyr-GTA-1-4	0	0	0	0	0	0	
tRNA:Tyr-GTA-1-5	0	0	0	0	2	0	
Cyp313b1	103	116	46	55	87	47	
Mkk4	4911	5134	3044	2983	5259	4675	
SLIRP2	229	219	126	148	236	201	
Dhod	3388	3183	1960	2024	2881	2622	
CG11753	821	765	455	533	699	581	
CG42489	71	77	83	85	66	35	
bel	28970	29653	16029	18018	28347	25382	
p	2836	2595	1750	1872	2529	2163	
CG8032	1202	1129	781	805	1172	979	
CG8036	29559	28274	17058	14897	22780	21260	
tRNA:Tyr-GTA-1-6	0	1	0	0	0	0	
tRNA:Tyr-GTA-1-7	0	0	0	1	0	0	
tRNA:Tyr-GTA-1-8	0	0	0	0	0	0	
mRpL19	1541	1500	858	966	1372	1255	
CG9773	879	913	508	574	861	764	
CG8043	369	334	216	263	357	276	
CG11755	284	252	155	143	228	214	
CG33325	0	0	0	0	0	0	
lncRNA:CR44937	0	0	0	0	0	0	
CG44227	0	1	0	0	0	0	
hb	77	63	42	45	68	44	
Cks85A	713	680	436	367	519	485	
CG8112	0	0	0	0	0	0	
TMEM216	609	661	390	448	718	611	
CG11760	7	3	8	4	11	11	
CG8136	29	33	20	30	33	29	
nom	817	803	502	423	707	639	
ouib	181	168	151	141	227	226	
CG8159	371	360	235	236	320	323	
ranshi	171	164	114	109	165	164	
M1BP	3639	3472	2154	2353	3470	3088	
CG8202	2869	2789	1936	1658	2600	2265	
CG9801	4088	4317	1985	2361	3791	2927	
CG8223	363	538	189	126	410	286	
CG34135	0	0	0	0	0	0	
CG11768	5	5	3	2	3	3	
asRNA:CR44228	0	0	0	0	0	0	
CG8236	9	9	5	3	8	10	
CG13318	15	7	7	0	13	7	
CG34301	6	11	3	4	5	14	
Pif1A	29	31	9	32	40	54	
Pif1B	0	0	0	0	0	1	
CG33191	12	16	7	13	23	22	
CG33189	14	15	10	19	27	29	
Ir85a	61	57	30	26	36	36	
CCT7	19924	20038	10938	11699	17560	16487	
CG9839	1545	1400	1029	1031	1513	1436	
hng2	706	726	538	443	683	645	
CG9837	126	184	69	58	58	125	
CG9821	19287	21159	13365	13246	23798	20778	
lncRNA:CR43130	17	12	4	19	40	24	
CG8369	2340	1979	1269	1007	1588	1158	
IscU	2135	2015	1269	1161	1746	1503	
CG8379	2206	2292	1353	1496	2282	1926	
pyd	29812	29648	17674	17510	27818	25569	
tRNA:Arg-TCG-2-3	0	0	0	0	0	0	
tRNA:Arg-TCG-2-4	0	0	0	0	0	0	
asRNA:CR44020	1	0	0	0	0	1	
osk	3	5	3	2	0	1	
ScsbetaA	8441	8426	4991	5417	8055	7166	
CG11964	3088	3008	1875	1937	3010	2625	
ich	46	151	6	50	140	69	
CAHbeta	90	82	50	67	99	90	
RagA-B	1312	1251	826	859	1232	1048	
CG11970	3767	3798	2378	2619	3894	3266	
E(var)3-9	2554	2485	1634	1319	2012	1925	
CG11975	1522	1501	896	860	1393	1230	
CG31100	196	601	96	192	158	318	
CG11977	0	0	2	0	0	1	
CG11980	3225	3220	2004	1854	2827	2470	
Prosbeta3	8478	8276	4648	5523	8379	7285	
CG11982	2371	2202	1295	1544	2315	2048	
CG11983	156	189	135	124	171	168	
Kcmf1	6301	6250	3722	3978	6052	5636	
Sf3b5	1519	1602	1020	1112	1734	1729	
CG11986	841	779	490	493	762	742	
tgo	5351	5701	3158	3247	5041	4750	
neur	1424	1589	875	681	1477	1275	
asRNA:CR31429	0	0	1	2	1	1	
hyx	3764	3786	2260	2714	3835	3486	
Nmdmc	1869	1734	1117	969	1591	1356	
Rel	2598	3007	2314	1619	2667	2315	
Mst85C	1446	1550	972	960	1414	1213	
Kdm2	7874	7220	5325	4991	7867	7033	
beag	2007	2066	1190	1331	1943	1808	
Ada	233	196	107	244	368	322	
pum	15166	16040	9519	9998	16488	14204	
CG11997	6	1	1	4	4	2	
lncRNA:CR45196	1	1	0	0	1	0	
D1	35674	35288	21648	24330	37522	35015	
Vps15	1754	1727	963	1039	1567	1450	
CG8420	1081	1559	495	589	1320	996	
St2	2004	2944	987	1084	2298	2279	
CR16735	0	4	0	5	1	1	
CG16734	1348	1209	838	809	1141	1112	
CG16736	14	18	9	10	16	9	
Ibf2	1510	1321	913	1118	1582	1380	
Ibf1	1690	1688	1069	1123	1662	1437	
ATP6AP2	7032	7208	3940	4266	6299	5418	
sage	477	1303	952	927	1211	248	
TrpRS	2670	2564	1519	1826	2633	2356	
Vps16A	2729	2619	1875	1844	2703	2468	
lncRNA:CR46350	90	114	84	0	2	1	
CG8861	340	294	187	175	263	204	
HP1e	2	1	0	1	1	0	
CG12951	50	9	4	1	2	0	
CG16749	130	109	67	81	107	95	
Aduk	872	893	580	584	878	789	
pasi2	3671	3859	1957	2162	3588	3351	
lncRNA:CR43301	53	77	33	32	65	35	
CG45050	13469	14473	9529	7456	13652	11591	
snoRNA:Me18S-G1358a	0	0	0	0	0	0	
snoRNA:Me18S-G1358b	5	4	1	1	5	5	
CG43675	13	10	3	9	13	8	
CG18473	16	28	20	24	30	34	
Srr	56	71	98	115	41	123	
FER	7844	7324	3857	5914	8558	7528	
asRNA:CR46145	12	15	12	11	6	11	
Or85f	16	20	6	21	35	29	
CG34117	495	531	302	430	616	477	
RpL34b	47366	43846	26954	32094	45294	40422	
CG8132	695	661	411	468	687	632	
CG9356	1140	1217	703	742	1166	1014	
CG42511	0	0	0	0	0	0	
CG8135	0	0	0	0	0	0	
CG44261	3	4	1	3	2	2	
betaTub85D	89	88	36	51	85	72	
Task7	643	587	370	443	560	504	
alpha-Man-IIa	6998	7275	4304	4073	6423	5857	
ps	4855	4565	3659	3182	5087	4026	
GstZ1	652	709	440	333	571	482	
GstZ2	8502	8465	5124	5876	8418	7546	
CG16779	849	672	572	563	765	543	
lncRNA:CR45203	1	0	1	1	2	0	
phu	8	4	3	1	1	6	
RhoL	1061	1379	601	745	1162	870	
CG8149	3471	3547	2007	2540	3535	3382	
rump	21651	21159	12834	13043	20962	18752	
Ras85D	11025	11220	6935	6399	11414	10092	
Rlb1	928	950	621	600	886	829	
mRpL47	1530	1565	839	972	1428	1272	
CG8176	7855	7990	4854	5104	8454	7238	
JHDM2	1804	1749	1195	1159	1694	1589	
mir-2283	0	5	1	0	0	0	
by	1953	1787	1205	1255	2024	1807	
mura	11509	11501	6892	6135	10396	9500	
lncRNA:CR42549	2700	2927	1995	1837	3451	2905	
RnpS1	5079	4992	2638	3361	4933	4596	
CG9386	618	594	378	299	503	439	
CG8199	719	780	480	476	673	596	
AP-1mu	4177	4475	2433	2666	4190	3867	
MBD-like	3013	2885	1731	2020	2759	2501	
CG9393	1129	1188	676	836	1247	992	
Vps45	708	707	470	473	684	573	
CG16789	271	188	186	143	264	244	
CG16790	491	488	247	343	436	406	
CG9396	3	9	4	25	4	2	
CG9399	380	465	241	295	470	341	
Kap-alpha3	17249	17805	10082	11177	16915	15656	
CG8273	1483	1428	876	939	1369	1266	
CG8301	116	98	69	168	253	147	
CG33654	1	1	0	0	0	0	
P58IPK	4780	5190	2451	3498	5399	4807	
bocks	1495	1434	813	1001	1346	1264	
CG8312	1985	2043	1184	1224	2069	1794	
CG9427	1781	1984	722	994	2321	1618	
CG8319	607	656	447	463	672	620	
Calr	67959	77105	38805	40614	68840	62602	
sisRNA:CR46357	65	86	32	41	105	88	
SpdS	369	386	219	259	347	300	
asRNA:CR45053	6	7	1	1	5	4	
Scm	4219	4186	2531	2723	4320	3975	
Dh44	1091	865	795	719	982	667	
Fst	89	322	43	256	15	364	
CG9492	10	15	13	17	25	13	
CG43441	0	0	0	0	0	0	
CG8358	1	3	4	2	4	2	
p23	22997	22890	14515	14716	23258	21031	
nmdyn-D7	917	856	590	454	628	621	
CG9444	133	382	118	92	76	222	
eca	2313	2606	1312	1611	2236	2038	
CG18542	7	4	2	5	2	6	
Unc-115b	78	74	58	68	161	130	
p24-2	0	0	0	0	0	0	
CG32939	2	4	1	8	2	1	
Unc-115a	3193	3011	2015	2402	4117	3352	
trbd	2409	2433	1249	1391	2226	2029	
dmt	2650	2478	1773	1700	2630	2283	
scaRNA:PsiU1-6	9	5	5	12	9	5	
hyd	20075	19630	13042	13546	20999	17865	
FoxP	1665	1583	1105	988	1576	1327	
alphaTub85E	404	359	197	259	546	297	
side-VII	2422	2202	1460	1653	2343	1953	
Pnn	1588	1759	1014	1040	1637	1566	
CG34409	92	115	59	119	190	163	
CG31415	11	14	7	8	16	13	
CG12948	2845	2799	1520	1829	2899	2611	
PpD3	4102	4263	2611	2690	4199	3681	
CG16908	1182	1056	742	718	1157	1033	
Rpt3R	137	124	98	106	154	148	
CG8412	1031	981	675	654	951	824	
CG8417	1400	1526	977	1021	1469	1288	
Snap24	2299	2293	1297	1494	2233	2036	
CG8478	3764	3485	2328	2494	3747	3458	
MED6	1990	1934	1120	1353	2090	1763	
CG8481	1074	1005	665	625	955	975	
CG9471	1396	1259	731	854	1281	1106	
Whamy	38	66	36	34	22	74	
topi	14	14	13	16	10	14	
RpS29	74465	72256	43717	45604	68882	65667	
snoRNA:Psi18S-1275	13	11	4	6	11	8	
asRNA:CR31514	150	163	151	148	128	183	
CG12947	103	67	58	130	168	177	
MtnA	2758	2665	2720	3652	4487	4012	
CG8500	1021	891	645	732	1061	881	
CG12945	1580	1594	979	1119	1643	1423	
CG8507	3134	3433	2068	1986	3161	2729	
CG8516	3541	3402	2020	2178	3609	3329	
asRNA:CR46144	7	6	8	2	8	6	
CG9467	4176	4494	2845	2920	4431	3963	
CG8526	3	19	9	12	20	15	
FBXO11	8953	9122	5075	5479	9117	8007	
asRNA:CR44035	2	0	0	0	1	2	
CG8534	2	1	2	0	0	0	
eloF	1	2	0	1	3	2	
CG16904	0	0	0	0	0	0	
CG9459	3	0	2	1	1	3	
CG9458	10	29	37	1	2	2	
CG42857	0	0	0	0	1	0	
lncRNA:CR45790	1	0	0	2	0	2	
CG34302	0	0	0	0	1	1	
lncRNA:CR42858	0	1	0	3	0	2	
Teh1	293	239	177	192	295	216	
Glut4EF	2016	1996	1097	1379	1875	1568	
lncRNA:CR45029	0	0	0	0	0	0	
Art4	8460	8497	5117	5466	8680	7614	
mir-9371	0	0	0	0	0	0	
Gr85a	1	0	0	1	2	1	
Spn85F	9	6	6	26	13	12	
CG5359	331	263	209	288	311	247	
Mical	13018	12729	7351	9655	13702	11119	
CG31407	0	1	1	0	0	0	
CG3909	2304	2112	1208	1394	1960	1819	
CG11722	301	284	190	203	278	259	
mtTFB2	668	721	440	505	689	583	
CG12811	1070	1093	593	678	1045	973	
ohgt	2282	2349	1347	1324	2111	1938	
Fancl	236	242	124	161	216	198	
asRNA:CR44192	0	3	0	2	0	1	
Npc2e	0	0	0	0	0	0	
Npc2d	20	6	0	1	0	1	
Npc2c	7	7	0	0	0	0	
asRNA:CR45205	0	0	1	0	0	1	
CR33629	0	0	0	0	0	0	
CG33630	0	1	0	0	0	0	
CG33631	0	0	0	0	0	2	
CG33783	1	0	0	0	0	0	
CG33784	0	0	0	0	0	0	
nerfin-2	122	119	63	80	83	77	
CG5361	0	0	0	6	1	3	
lncRNA:CR45054	3	2	4	5	0	6	
mir-317	0	0	0	1	0	0	
lncRNA:CR43459	29	26	26	19	23	20	
mir-277	0	0	0	0	0	0	
mir-34	0	0	0	0	0	0	
Fmr1	18035	19392	10456	10830	17949	16293	
CG3940	1242	961	886	1115	1367	981	
gammaSnap2	47	57	50	52	64	58	
ATPsynepsilonL	54	55	36	18	54	29	
knk	627	749	436	347	681	585	
asRNA:CR46038	0	0	0	0	0	0	
tws	11121	11759	6881	6762	11366	10303	
TAF1B	1787	1710	1184	1087	1771	1618	
CG42759	30	29	22	23	23	17	
Invadolysin	2690	2472	1723	1726	2739	2381	
CG34303	1	2	2	1	3	4	
CG6254	1273	1276	910	913	1276	1127	
Best1	2102	2089	1305	1127	1883	1782	
CG12814	4027	4172	2813	2425	4230	3825	
Syn	3348	2759	2223	2103	2898	2372	
Timp	496	444	319	285	385	370	
CG12420	24	25	15	24	13	22	
CG12817	222	180	145	160	185	175	
CG34107	0	1	0	0	1	1	
CG42795	1105	901	795	907	1244	975	
CG3999	177	529	89	122	111	330	
Sirt6	526	452	327	345	494	411	
pont	5733	5729	3414	3618	5391	5054	
CG43143	3858	3847	2486	2522	4047	3436	
tRNA:Ser-GCT-2-1	0	0	0	0	0	0	
CG6293	305	273	212	172	403	266	
Bruce	22837	22794	15142	13547	22221	18614	
CG12818	340	352	214	250	423	329	
sle	8844	8296	6021	6180	9451	8156	
CG12592	260	248	162	111	231	215	
CG18545	6	2	1	11	22	30	
CG31406	2	0	1	3	2	1	
jumu	9207	8528	6077	6777	10286	9289	
Rfx	1677	1583	1082	1253	1894	1516	
lncRNA:CR44938	1	7	5	7	7	0	
cwo	3669	3601	2196	1922	3195	2831	
mthl11	0	2	1	4	7	4	
CG6325	2093	2086	1367	1221	1980	1791	
mir-994	0	0	0	0	0	0	
mir-318	0	0	0	0	0	0	
Irp-1B	5847	6048	3302	3712	5550	4765	
Rrp46	961	862	527	563	883	773	
CG6345	443	479	323	288	420	365	
CG46270	0	0	0	0	0	0	
Cyp12e1	556	506	343	415	643	411	
lncRNA:CR44939	3	3	3	0	2	2	
lncRNA:CR44955	47	39	26	20	39	47	
lncRNA:CR45576	4	1	1	0	1	0	
hth	20874	22212	13261	11112	21154	18008	
mir-4944	9	5	5	10	13	12	
asRNA:CR44018	167	130	94	77	127	82	
CG6465	2	17	1	3	3	40	
CG14688	121	124	44	116	187	118	
lncRNA:CR44230	2	2	0	3	0	3	
Skeletor	3586	3622	2086	2151	3742	3369	
pug	1491	2228	820	1039	1285	1694	
CG14683	3799	3275	2014	2087	3085	2794	
CG31391	24	20	18	17	27	27	
CG31467	286	188	170	150	244	217	
CG14684	108	82	70	62	84	82	
CG31278	372	368	214	222	317	339	
CG31373	41	47	20	37	46	44	
CG14689	0	0	0	1	2	1	
CG4073	0	0	0	0	0	0	
tomboy20	0	0	0	0	1	1	
TkR86C	208	165	135	160	254	194	
CG14691	0	0	0	0	1	0	
CG31272	0	2	1	20	0	5	
asRNA:CR45015	0	0	0	0	0	0	
MED7	2513	2320	1476	1606	2436	2120	
asRNA:CR45016	6	4	4	1	2	3	
Cap-H2	2670	2523	1940	1844	2515	2349	
TfIIFbeta	1409	1412	756	964	1410	1176	
CG45076	901	950	368	711	1057	752	
fau	1	1	0	2	1	1	
CG45078	63	87	25	77	87	40	
Desi	1	1	0	2	5	2	
CG42633	12	7	4	8	6	4	
mRpL37	1577	1504	922	1145	1594	1341	
Rbp1	5673	5240	3540	3776	5541	4798	
Art1	10313	9870	5376	7000	9914	9452	
Mcm5	5416	4906	3261	3847	5402	4970	
CG14687	1308	1176	464	496	1276	689	
CG14692	12	13	19	9	25	15	
CG14693	2	5	2	4	2	2	
TTLL15	607	647	337	313	570	458	
Cad86C	6769	7004	3929	4132	7393	6692	
CG42394	4265	4236	2912	2346	3889	3361	
CG4565	100	87	57	61	78	68	
CG6567	749	790	444	599	759	669	
CG4511	6080	6253	3714	3877	6379	5769	
CG4570	865	741	564	557	772	637	
CG14694	63	46	44	34	69	48	
CG6574	512	442	355	339	514	414	
SelR	1941	2046	1394	889	1578	1328	
Tsp86D	1962	2056	1076	1213	2055	1847	
Fdh	10161	9704	5810	5431	8916	7845	
CG4596	1081	1021	690	733	1046	890	
Sodh-2	75	67	35	137	120	55	
asRNA:CR45195	0	0	0	0	0	0	
CG14695	95	34	27	26	31	28	
Tpc1	1096	1007	663	737	1073	955	
CG14696	1455	1329	937	710	1147	1021	
Leash	2023	2155	1091	1079	2033	1724	
Adk3	1404	1593	864	775	1284	1044	
CG6621	3440	3184	2060	2074	3260	2968	
lncRNA:CR45577	5	4	4	1	0	1	
lncRNA:CR45578	3	4	0	1	1	0	
Tengl4	0	0	0	0	0	0	
lncRNA:CR45561	0	1	0	0	0	0	
side-VI	1487	1242	938	911	1243	995	
lncRNA:CR46007	0	0	0	1	0	0	
lncRNA:CR44940	0	0	0	0	0	1	
CG43449	1	0	0	0	1	0	
lncRNA:CR45579	0	0	0	0	0	1	
CG6629	0	1	0	0	1	0	
Ugt86Dd	20	9	14	13	9	8	
CG4706	1	1	0	0	0	0	
CheA86a	0	0	0	0	0	0	
Ugt86Di	650	418	209	650	904	800	
Ugt86Dc	6	6	5	8	8	8	
Ugt86Da	1599	1634	916	904	1677	1433	
CG4757	6	5	0	1	4	3	
Ugt86Dg	0	0	0	0	0	0	
Ugt86De	0	1	1	0	0	0	
Ugt35b	1	2	1	6	5	3	
Ugt35a	131	92	150	149	109	47	
Ugt86Dj	2	4	13	11	4	16	
Ugt86Dh	7	9	25	13	7	17	
CG18577	30	21	8	0	0	1	
cu	4001	3730	2624	3293	4503	4387	
SdhC	3750	3405	1912	2501	3281	2838	
Tctp	62602	63693	35471	36114	57721	54795	
ZnT86D	2836	2944	1514	1710	2835	2430	
RpS25	79648	78616	44328	48631	76868	71358	
CG4820	526	531	294	336	463	417	
CG6689	791	763	518	483	840	726	
CG6693	4193	3734	2397	2690	4039	3610	
RpL3	126386	126573	80116	88634	128610	113642	
snoRNA:Me18S-C1096	0	0	0	0	0	0	
asRNA:CR31144	3	2	0	6	4	2	
snoRNA:Me18S-A425	0	0	0	0	0	0	
snoRNA:Psi28S-291	114	111	70	99	128	98	
snoRNA:Me28S-G2017	34	23	14	9	31	35	
scpr-C	21	16	28	14	6	12	
CG17726	326	310	184	178	284	238	
GCC88	2129	2233	1274	1305	2010	1810	
CG17187	665	666	389	387	648	591	
CG14701	242	197	145	144	193	199	
Arfip	2898	3030	1709	1734	2783	2440	
CG17721	801	741	433	422	689	554	
CG31441	330	314	222	219	331	290	
CG31388	817	774	422	579	752	753	
scpr-B	4	8	10	3	0	4	
scpr-A	9	15	30	7	3	3	
CG17734	1587	1644	1072	1443	2236	1824	
CG5214	7333	7426	4596	4559	7186	6138	
lncRNA:CR43283	34218	28477	24303	30454	37439	27588	
lncRNA:CR31386	129	113	72	133	117	96	
lncRNA:TS25	0	1	0	0	0	0	
lncRNA:CR45055	0	0	1	1	0	1	
pros	61058	53592	41198	38702	60823	44712	
lncRNA:CR46008	7	7	4	6	5	1	
KP78b	0	0	0	0	0	0	
KP78a	0	0	0	0	0	0	
lncRNA:CR46009	1	1	0	1	3	1	
lncRNA:CR46010	2	1	4	0	1	0	
mRpL40	715	662	415	466	658	594	
mgr	4733	4530	2664	2848	4192	3746	
Irbp	759	589	437	458	748	619	
snoRNA:Irbp-a	0	1	0	0	2	1	
Ranbp9	6652	6408	3843	4184	6424	5837	
CG6723	304	195	201	331	320	204	
CG45676	0	1	0	1	0	0	
ninaG	1	6	4	1	4	2	
CG5270	2104	2273	1313	1227	2116	1964	
Dtd	167	151	92	92	128	119	
RpL24-like	7567	6565	4326	4762	6560	6231	
CG5276	680	717	493	491	696	583	
Exd2	1798	1797	1029	1010	1604	1374	
CG5281	665	618	359	438	631	541	
sals	718	630	346	468	700	496	
CG17230	1588	1537	952	932	1545	1483	
mir-4945	10	4	5	6	7	3	
PGRP-LB	210	244	352	188	296	213	
lncRNA:CR45581	2	1	3	0	3	3	
dpr5	239	165	127	177	179	175	
dpr4	528	349	356	359	489	423	
asRNA:CR45056	4	0	2	1	3	0	
CG14708	1	2	1	1	2	0	
CG10898	545	540	307	384	552	436	
sea	40	28	25	27	25	30	
fabp	11123	11129	7166	8255	12140	10364	
Mrp4	614	552	395	528	625	533	
CG6790	6	4	1	3	11	5	
CG5342	4	1	3	5	3	2	
wkd	1825	1692	1201	1214	1704	1539	
CG6791	9230	9000	6242	4873	7838	7461	
Jupiter	25984	28309	16016	17810	26949	24709	
CG14710	702	725	419	426	646	638	
CG6808	292	261	178	194	296	279	
CG14711	7	6	1	1	7	5	
CG6813	404	378	309	238	381	356	
CG18764	434	343	283	247	368	328	
CG14712	2583	2761	1525	1897	2833	2468	
Csk	7130	7177	4588	4843	7676	6575	
asRNA:CR44137	73	50	41	22	30	20	
Elp1	3565	3447	2318	2282	3543	3127	
CG42327	2532	2562	1551	1493	2920	2344	
CG14715	2347	2293	1447	845	1374	1143	
CG18476	913	940	588	610	973	783	
Taf12	2664	2599	1497	1893	2650	2318	
Ho	827	979	565	532	967	878	
CG6830	10	16	18	22	6	40	
CG6834	32	47	35	70	32	46	
CG6908	25	90	10	8	17	44	
CG18765	7	4	4	4	6	7	
Fer3	55	40	20	36	35	28	
CG14717	0	1	0	0	0	0	
CG14718	2	2	2	1	1	1	
lncRNA:CR46011	0	0	0	0	0	0	
I-t	0	1	0	0	2	1	
CG14720	0	0	0	0	0	0	
CG12594	948	894	538	632	838	716	
CG14721	586	589	307	421	563	578	
Blm	1541	1499	983	985	1425	1305	
CG14722	2045	2140	1161	1507	2297	2008	
CG6923	2827	3027	1862	1736	2840	2557	
CG43062	6	12	6	11	14	17	
Lk6	27238	26887	20917	16122	27913	24999	
l(3)neo38	35500	35922	24656	22710	37600	34392	
lncRNA:CR45595	9	14	12	2	12	12	
CG17360	2871	2806	1917	1823	2822	2314	
HisCl1	59	80	38	71	98	72	
Sbf	3316	3465	2154	2287	3495	2962	
ClC-a	826	860	522	602	1026	744	
glo	22457	22667	14344	14839	22568	21130	
COX5A	8708	8128	4712	5885	8116	7580	
CG6950	2092	1908	1139	1460	2077	1755	
CG6959	6901	6977	4404	4229	7091	6678	
sad	6663	7229	3621	5325	6150	6166	
CG6962	1841	1794	1071	1233	1725	1512	
CG31368	4726	4529	3112	3063	4486	4074	
mthl5	3139	3192	1718	1840	3071	2860	
CG6971	1	4	3	6	2	9	
Cad87A	9567	10260	5949	5747	10249	8642	
CG34307	0	1	0	0	2	0	
CG14731	1	1	3	1	1	2	
CG31211	11359	10819	6328	6339	10408	9424	
Hsp70Aa	1660	1281	794	986	392	749	
Hsp70Ab	2008	1776	1067	946	412	766	
CG3281	748	760	509	522	818	664	
aurA	1594	1425	896	963	1420	1260	
CG12213	5186	5505	3221	2825	4729	4443	
GC1	947	920	528	612	819	774	
Tango9	3048	3373	1839	1715	2810	2848	
GC2	0	0	0	0	0	0	
CG10005	2040	2394	926	1058	1990	1699	
lncRNA:CR44135	9	20	9	10	9	11	
CG18547	1184	1342	586	654	1024	979	
CG12224	57	253	28	60	115	136	
CG3397	0	0	0	84	94	280	
mfas	10542	10665	7048	6701	10402	8079	
Tk	166	96	124	111	114	107	
Ect3	1724	1405	905	1072	1697	1227	
KLHL18	1920	1916	1078	1182	1691	1580	
GCC185	1531	1655	1112	1134	1589	1401	
DCAF12	1180	1159	638	667	1000	914	
Spt3	724	678	419	457	657	605	
CG31358	0	0	0	1	1	0	
CG42504	0	0	0	0	0	0	
CG42505	0	0	0	0	0	0	
ssp5	0	0	0	1	1	1	
CG14736	0	0	1	0	1	0	
CG14739	0	2	0	0	3	0	
CG14740	1	1	0	0	1	0	
ATP8B	2120	1765	1921	1467	2488	1799	
dpr17	779	640	416	522	723	532	
CG4702	60	65	35	33	44	46	
tRNA:Lys-TTT-2-5	0	0	0	0	0	0	
dpr15	229	210	154	168	237	181	
Cpn	0	0	1	0	2	1	
eIF3d2	2	0	0	0	1	0	
CG43450	0	1	0	0	0	0	
CG3809	0	1	0	1	2	0	
tRNA:Thr-TGT-1-1	0	0	0	0	0	0	
CG4830	2	21	2	0	0	4	
Cog1	2191	2270	1344	1490	2251	1922	
CG14742	0	0	0	0	0	0	
CG4860	685	567	341	389	663	554	
asRNA:CR46012	1	0	0	0	0	0	
CG10014	2	4	3	0	1	1	
CG17404	0	2	0	0	1	1	
CG12256	0	1	0	0	1	0	
asRNA:CR43477	0	0	0	0	0	0	
CG3916	2	3	0	2	3	2	
Pglym87	1	2	1	3	4	1	
Cyp313a5	45	13	9	2	9	1	
Cyp313a2	45	6	3	2	2	1	
Cyp313a3	102	4	1	1	6	3	
lncRNA:CR44036	0	1	0	0	0	0	
lncRNA:CR45582	1	5	3	0	0	0	
CG3942	8	11	3	4	7	1	
lncRNA:CR46203	3	1	0	2	0	1	
svp	1846	1989	1031	1249	1971	1726	
CG44037	4	3	3	1	1	2	
CG44038	3	0	0	1	0	1	
lncRNA:CR46013	3	3	2	0	2	1	
lncRNA:CR44039	0	1	7	0	0	2	
CG17738	244	589	114	196	508	260	
Sfp87B	0	0	0	0	0	0	
lncRNA:CR46014	1	1	1	0	2	0	
CG4066	3	0	0	1	0	0	
tRNA:Thr-TGT-2-5	0	0	0	0	0	0	
CG10013	2	0	0	0	0	0	
lncRNA:CR45584	0	0	0	0	0	0	
lncRNA:CR45583	0	1	0	1	0	0	
lncRNA:CR44941	0	0	0	0	0	0	
CG44956	363	832	1211	608	829	35	
CG10038	2012	1972	1231	1231	1846	1546	
CG10041	17	27	24	15	19	32	
