Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
CG34384	1880	1729	1207	1800	1453	1631	1117	
CG17816	4979	4545	3157	6208	5289	5338	3540	
lncRNA:CR46127	1	4	0	3	5	6	3	
ArgRS-m	880	825	535	842	707	801	778	
mRpS9	1649	1656	1080	1790	1546	1796	1487	
wtrw	667	564	425	680	538	708	561	
EMC1	7229	7290	4063	8650	7266	8616	7388	
Taf7	920	926	580	1098	931	1025	908	
Prat	3137	2867	1651	3194	2852	3259	2986	
CG2846	1108	1052	640	1095	946	1085	981	
CG2678	47	65	25	73	50	71	74	
CG10445	407	363	248	482	427	481	393	
lds	5384	5243	2926	5812	5052	6300	5615	
scaRNA:MeU2-C41	5	4	1	6	5	2	2	
dsx	2457	2793	1435	2814	2128	2653	2080	
CD98hc	24236	23984	13437	25549	22021	26225	22974	
Os-C	118	147	78	153	111	151	115	
Sfp84E	3	8	4	8	4	10	4	
CG2781	500	430	280	467	361	391	299	
lncRNA:CR46143	0	1	2	3	0	1	0	
lncRNA:CR46142	0	0	1	0	0	1	0	
PIG-H	328	297	206	323	284	360	327	
Kmn2	249	209	171	277	229	276	283	
CG2698	5183	4761	3580	5079	4416	4882	4464	
CG2767	6453	7195	3747	7551	6602	8179	7228	
CG11052	29	27	29	12	9	21	13	
CG3223	2509	2526	1286	2915	2449	2816	2307	
CG10435	1498	1485	857	1752	1426	1781	1504	
Pbp95	619	593	390	668	603	755	638	
CG2747	9767	10193	5615	9853	8290	9732	7668	
ImpE3	3186	5013	1371	5772	4562	6085	3867	
CG10903	80	60	44	99	71	95	83	
CG11035	257	266	173	246	212	287	279	
unc-45	2616	2734	1513	2377	1933	2282	1931	
lncRNA:CR44936	0	1	0	1	1	2	1	
CG43060	19	51	10	7	3	12	11	
CG43618	0	2	0	0	0	0	0	
CG43061	2	3	1	1	0	0	0	
mAChR-B	199	160	160	147	123	141	103	
snoRNA:Me18S-G423	0	0	0	0	0	0	0	
CG7910	40	28	33	3	3	5	2	
lncRNA:CR44330	4	0	0	0	0	0	0	
CG7900	385	343	214	390	354	490	466	
puc	1903	1941	1179	2164	1818	2225	1707	
lncRNA:CR44331	11	18	7	14	8	11	10	
CG7878	4859	4646	3103	5338	4554	5184	4280	
CG9667	1216	1165	668	1430	1186	1431	1375	
Gie	2327	2578	1383	2754	2393	2859	2633	
tRNA:Asn-GTT-1-10	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-6	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-7	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-8	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-9	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-10	0	1	0	0	0	0	0	
grn	3887	4374	1931	4321	3379	4279	3466	
lncRNA:CR43302	8	7	3	9	5	5	7	
lncRNA:CR43303	0	0	0	0	0	1	0	
CheA84a	0	0	0	0	0	0	0	
CG7800	714	640	524	662	558	668	679	
CG18249	118	246	44	103	106	161	130	
lncRNA:CR45551	20	14	12	14	16	34	13	
lncRNA:CR45550	0	0	0	0	0	0	0	
asRNA:CR45549	5	6	2	6	3	4	5	
DNApol-iota	1239	1139	720	1280	1161	1341	1204	
Ada2b	2629	2634	1631	2675	2340	2705	2265	
CG9636	5493	5176	3456	5624	4935	5943	4996	
CG18749	0	0	0	0	0	0	0	
CG33722	0	0	0	0	0	0	0	
CG15864	502	454	391	434	320	349	267	
mtg	871	873	568	911	747	869	657	
CR18228	47	41	35	25	16	20	19	
RpA-70	8211	7446	4919	6828	6010	7230	6569	
Mcm2	6187	5508	3570	5999	5342	6063	5267	
CG9630	1286	1243	739	1299	1162	1458	1226	
ato	806	802	502	1058	913	1025	955	
lncRNA:CR44318	1	1	0	0	0	3	5	
CG11671	5	3	0	6	1	1	3	
CG11672	13	340	4	1	1	1	369	
CG31464	2	60	0	0	1	1	65	
CG31463	1	1	1	0	0	1	0	
CG9626	53	61	32	96	69	74	34	
mRpL1	1446	1339	831	1474	1326	1459	1462	
nac	651	625	356	636	567	640	595	
Sgt1	2714	2658	1700	2899	2544	2633	2379	
tex	1521	1489	808	1822	1586	1909	1721	
mir-4918	0	0	0	0	0	0	0	
CG11693	1	0	0	3	0	2	1	
CG11694	0	0	0	0	0	0	0	
CG11698	0	0	0	0	0	0	0	
CG7483	6517	6616	3621	7566	6388	7829	7179	
Coq2	342	348	244	435	331	337	329	
lncRNA:CR45215	1	3	2	1	1	2	0	
Ctr1B	32	62	11	16	13	14	14	
Poxm	226	258	119	186	153	165	147	
Or85a	1	3	0	0	3	0	1	
CG7443	0	0	1	2	0	0	0	
COX7A	7197	7139	4595	8006	6855	8150	7249	
Arl2	921	910	559	1078	987	1062	1023	
CG9601	1445	1295	939	1191	1069	1201	1158	
COX7AL	0	2	0	6	9	9	8	
DppIII	13586	13922	8023	16309	13892	16015	13225	
CG7352	473	474	351	427	397	423	372	
mir-9380	0	0	0	0	0	0	0	
Atg13	2160	2170	1313	2242	1940	2389	2018	
stck	3822	3629	2073	3694	3322	3947	3462	
CG9684	1952	2014	1340	2156	1756	2054	1674	
CG7963	3	1	2	3	2	2	3	
CG45263	2986	2798	1899	3003	2369	2645	1669	
lncRNA:CR46126	3	0	1	1	0	1	0	
Obp85a	0	0	0	0	0	0	1	
lncRNA:CR46125	0	0	0	0	0	0	0	
Or85b	1	0	0	0	1	0	0	
Or85c	0	0	1	1	0	1	0	
lncRNA:CR46228	0	0	0	0	1	0	0	
CG11737	1354	1496	865	1593	1396	1601	1530	
CG31454	23	23	18	18	13	23	19	
CG31259	4	8	3	1	0	3	2	
CG11741	0	3	1	3	1	0	2	
lncRNA:CR45575	0	0	0	0	0	0	0	
lncRNA:CR45574	0	0	0	0	0	0	1	
Or85d	0	0	0	0	0	0	0	
pch2	5964	5798	3303	7069	6214	7396	6805	
mRpS18A	1119	1009	729	1572	1399	1547	1416	
CG31460	5	9	7	17	15	9	15	
asRNA:CR44291	39	31	34	52	50	58	47	
Cenp-C	4037	3850	2992	4460	3878	4307	3226	
5-HT2B	160	129	102	129	114	110	106	
lncRNA:CR46124	0	0	0	0	0	0	0	
Or85e	1	0	0	0	0	1	1	
tRNA:Tyr-GTA-1-4	0	0	0	0	0	0	0	
tRNA:Tyr-GTA-1-5	0	0	0	1	0	1	0	
Cyp313b1	103	116	46	83	61	90	74	
Mkk4	4911	5134	3044	5341	4509	5432	4603	
SLIRP2	229	219	126	216	205	272	235	
Dhod	3388	3183	1960	3558	3149	3505	3096	
CG11753	821	765	455	815	722	850	730	
CG42489	71	77	83	46	43	46	40	
bel	28970	29653	16029	31725	26913	32033	25527	
p	2836	2595	1750	2776	2513	2673	2408	
CG8032	1202	1129	781	1363	1146	1211	1050	
CG8036	29559	28274	17058	25237	21420	25393	22114	
tRNA:Tyr-GTA-1-6	0	1	0	0	0	0	0	
tRNA:Tyr-GTA-1-7	0	0	0	0	0	0	0	
tRNA:Tyr-GTA-1-8	0	0	0	0	0	0	0	
mRpL19	1541	1500	858	1532	1297	1612	1326	
CG9773	879	913	508	958	860	976	854	
CG8043	369	334	216	396	339	401	356	
CG11755	284	252	155	226	198	241	222	
CG33325	0	0	0	1	0	1	0	
lncRNA:CR44937	0	0	0	0	1	0	0	
CG44227	0	1	0	0	0	0	0	
hb	77	63	42	78	52	52	35	
Cks85A	713	680	436	555	521	604	540	
CG8112	0	0	0	0	0	0	0	
TMEM216	609	661	390	709	625	780	586	
CG11760	7	3	8	17	6	9	11	
CG8136	29	33	20	32	29	33	37	
nom	817	803	502	881	708	785	777	
ouib	181	168	151	188	176	217	190	
CG8159	371	360	235	386	303	401	336	
ranshi	171	164	114	166	174	217	178	
M1BP	3639	3472	2154	3651	3199	3715	3313	
CG8202	2869	2789	1936	2837	2470	2836	2400	
CG9801	4088	4317	1985	4147	3163	3778	3116	
CG8223	363	538	189	527	325	282	245	
CG34135	0	0	0	0	0	0	0	
CG11768	5	5	3	3	2	3	2	
asRNA:CR44228	0	0	0	0	0	0	0	
CG8236	9	9	5	16	9	10	8	
CG13318	15	7	7	9	12	10	7	
CG34301	6	11	3	11	13	2	5	
Pif1A	29	31	9	40	46	42	37	
Pif1B	0	0	0	0	1	0	0	
CG33191	12	16	7	22	19	18	9	
CG33189	14	15	10	39	20	27	13	
Ir85a	61	57	30	23	36	34	17	
CCT7	19924	20038	10938	22266	19114	21815	18479	
CG9839	1545	1400	1029	1522	1334	1570	1352	
hng2	706	726	538	708	617	721	696	
CG9837	126	184	69	62	69	85	78	
CG9821	19287	21159	13365	21226	17260	22342	15086	
lncRNA:CR43130	17	12	4	28	15	19	16	
CG8369	2340	1979	1269	1116	1044	1051	999	
IscU	2135	2015	1269	1965	1776	2036	1958	
CG8379	2206	2292	1353	2372	2049	2516	2181	
pyd	29812	29648	17674	32032	26617	31329	23544	
tRNA:Arg-TCG-2-3	0	0	0	0	0	1	0	
tRNA:Arg-TCG-2-4	0	0	0	0	0	1	0	
asRNA:CR44020	1	0	0	0	0	0	0	
osk	3	5	3	6	5	8	3	
ScsbetaA	8441	8426	4991	9005	7761	9116	8168	
CG11964	3088	3008	1875	3355	2832	3227	2661	
ich	46	151	6	123	95	337	12	
CAHbeta	90	82	50	93	72	83	60	
RagA-B	1312	1251	826	1334	1204	1364	1291	
CG11970	3767	3798	2378	4154	3553	4151	3311	
E(var)3-9	2554	2485	1634	2661	2354	2824	2540	
CG11975	1522	1501	896	1590	1346	1640	1467	
CG31100	196	601	96	199	164	246	173	
CG11977	0	0	2	0	1	1	1	
CG11980	3225	3220	2004	3304	2749	3361	2736	
Prosbeta3	8478	8276	4648	9584	8386	9567	8026	
CG11982	2371	2202	1295	2547	2173	2512	2340	
CG11983	156	189	135	163	143	177	157	
Kcmf1	6301	6250	3722	7080	6029	6960	5735	
Sf3b5	1519	1602	1020	1923	1719	2146	2029	
CG11986	841	779	490	788	724	856	787	
tgo	5351	5701	3158	5850	4951	5981	4650	
neur	1424	1589	875	1521	1158	1360	1003	
asRNA:CR31429	0	0	1	0	5	0	0	
hyx	3764	3786	2260	4492	3856	4407	4025	
Nmdmc	1869	1734	1117	2074	1734	1803	1687	
Rel	2598	3007	2314	2709	2186	2715	2127	
Mst85C	1446	1550	972	1575	1393	1503	1364	
Kdm2	7874	7220	5325	8309	7202	8031	6453	
beag	2007	2066	1190	2101	1897	2230	1934	
Ada	233	196	107	431	380	393	413	
pum	15166	16040	9519	17069	14164	17533	12816	
CG11997	6	1	1	2	1	1	1	
lncRNA:CR45196	1	1	0	1	2	2	2	
D1	35674	35288	21648	41758	36515	44093	37674	
Vps15	1754	1727	963	1829	1563	1818	1465	
CG8420	1081	1559	495	1527	1156	1449	836	
St2	2004	2944	987	2729	2228	2894	2316	
CR16735	0	4	0	1	1	4	3	
CG16734	1348	1209	838	1345	1168	1314	1270	
CG16736	14	18	9	18	16	13	14	
Ibf2	1510	1321	913	1601	1408	1541	1591	
Ibf1	1690	1688	1069	1696	1580	1895	1708	
ATP6AP2	7032	7208	3940	7007	5917	6784	6001	
sage	477	1303	952	870	530	774	550	
TrpRS	2670	2564	1519	3039	2604	3243	2743	
Vps16A	2729	2619	1875	2996	2565	3070	2484	
lncRNA:CR46350	90	114	84	1	0	0	0	
CG8861	340	294	187	365	273	250	228	
HP1e	2	1	0	0	0	0	0	
CG12951	50	9	4	8	5	3	0	
CG16749	130	109	67	112	86	121	78	
Aduk	872	893	580	981	879	1026	922	
pasi2	3671	3859	1957	4139	3605	4412	3922	
lncRNA:CR43301	53	77	33	77	53	60	39	
CG45050	13469	14473	9529	15288	12383	14348	10750	
snoRNA:Me18S-G1358a	0	0	0	1	0	1	0	
snoRNA:Me18S-G1358b	5	4	1	8	3	8	1	
CG43675	13	10	3	7	8	10	6	
CG18473	16	28	20	52	30	21	22	
Srr	56	71	98	23	22	36	32	
FER	7844	7324	3857	11268	9519	10957	9053	
asRNA:CR46145	12	15	12	12	8	7	5	
Or85f	16	20	6	31	25	26	23	
CG34117	495	531	302	693	593	674	627	
RpL34b	47366	43846	26954	46499	42334	48531	43824	
CG8132	695	661	411	630	651	677	655	
CG9356	1140	1217	703	1209	1028	1307	1151	
CG42511	0	0	0	0	0	0	0	
CG8135	0	0	0	0	0	0	0	
CG44261	3	4	1	5	0	4	2	
betaTub85D	89	88	36	88	64	70	65	
Task7	643	587	370	597	580	613	533	
alpha-Man-IIa	6998	7275	4304	7772	6487	7669	6369	
ps	4855	4565	3659	4494	3680	4304	3052	
GstZ1	652	709	440	644	572	671	562	
GstZ2	8502	8465	5124	9887	8364	9805	7925	
CG16779	849	672	572	735	594	641	419	
lncRNA:CR45203	1	0	1	0	0	1	0	
phu	8	4	3	12	6	0	2	
RhoL	1061	1379	601	1268	1052	1256	1077	
CG8149	3471	3547	2007	4001	3411	4284	3707	
rump	21651	21159	12834	23862	20332	22767	18441	
Ras85D	11025	11220	6935	12520	11040	12882	11082	
Rlb1	928	950	621	1032	908	991	899	
mRpL47	1530	1565	839	1713	1487	1647	1631	
CG8176	7855	7990	4854	8328	7198	8553	6950	
JHDM2	1804	1749	1195	1842	1678	1989	1672	
mir-2283	0	5	1	0	5	4	0	
by	1953	1787	1205	1784	1568	1875	1620	
mura	11509	11501	6892	11720	9593	11141	7599	
lncRNA:CR42549	2700	2927	1995	3316	2668	3104	2609	
RnpS1	5079	4992	2638	6135	5205	6075	5191	
CG9386	618	594	378	618	527	656	610	
CG8199	719	780	480	807	677	839	754	
AP-1mu	4177	4475	2433	4880	4014	4851	4197	
MBD-like	3013	2885	1731	3243	2827	3240	2640	
CG9393	1129	1188	676	1398	1203	1348	1189	
Vps45	708	707	470	738	644	771	652	
CG16789	271	188	186	293	218	204	175	
CG16790	491	488	247	545	422	550	540	
CG9396	3	9	4	3	1	5	5	
CG9399	380	465	241	447	361	399	349	
Kap-alpha3	17249	17805	10082	19017	16294	20189	17148	
CG8273	1483	1428	876	1501	1354	1663	1258	
CG8301	116	98	69	156	119	129	107	
CG33654	1	1	0	0	0	0	0	
P58IPK	4780	5190	2451	5106	4282	5421	4435	
bocks	1495	1434	813	1641	1447	1632	1527	
CG8312	1985	2043	1184	1914	1689	1916	1680	
CG9427	1781	1984	722	2412	2006	2377	2140	
CG8319	607	656	447	743	590	795	661	
Calr	67959	77105	38805	76495	65319	79912	65822	
sisRNA:CR46357	65	86	32	97	69	99	55	
SpdS	369	386	219	431	337	412	404	
asRNA:CR45053	6	7	1	8	3	3	3	
Scm	4219	4186	2531	4544	3839	4600	3759	
Dh44	1091	865	795	1213	1004	1035	959	
Fst	89	322	43	178	132	82	680	
CG9492	10	15	13	18	12	10	8	
CG43441	0	0	0	0	0	1	0	
CG8358	1	3	4	0	2	1	1	
p23	22997	22890	14515	26196	22343	27388	24305	
nmdyn-D7	917	856	590	830	702	805	704	
CG9444	133	382	118	154	143	215	163	
eca	2313	2606	1312	2495	2108	2481	2038	
CG18542	7	4	2	6	0	9	1	
Unc-115b	78	74	58	79	51	52	51	
p24-2	0	0	0	0	0	0	0	
CG32939	2	4	1	1	1	0	2	
Unc-115a	3193	3011	2015	3328	2685	2931	2520	
trbd	2409	2433	1249	2183	1824	2372	1974	
dmt	2650	2478	1773	2877	2536	2826	2249	
scaRNA:PsiU1-6	9	5	5	14	10	12	9	
hyd	20075	19630	13042	22383	18825	21809	15699	
FoxP	1665	1583	1105	1491	1361	1401	1007	
alphaTub85E	404	359	197	449	394	491	1040	
side-VII	2422	2202	1460	2534	2137	2211	1752	
Pnn	1588	1759	1014	1909	1575	1809	1713	
CG34409	92	115	59	84	76	97	59	
CG31415	11	14	7	16	7	5	6	
CG12948	2845	2799	1520	3233	2816	3232	3080	
PpD3	4102	4263	2611	4571	3869	4531	4086	
CG16908	1182	1056	742	1193	1016	1291	1118	
Rpt3R	137	124	98	199	169	201	166	
CG8412	1031	981	675	959	801	1045	917	
CG8417	1400	1526	977	1489	1289	1596	1363	
Snap24	2299	2293	1297	2419	2128	2425	2053	
CG8478	3764	3485	2328	3626	3227	3739	3478	
MED6	1990	1934	1120	2094	1817	2212	1872	
CG8481	1074	1005	665	1104	975	1039	949	
CG9471	1396	1259	731	1306	1259	1423	1449	
Whamy	38	66	36	33	23	18	32	
topi	14	14	13	6	9	9	16	
RpS29	74465	72256	43717	67460	61085	75350	67839	
snoRNA:Psi18S-1275	13	11	4	8	8	7	9	
asRNA:CR31514	150	163	151	148	127	131	82	
CG12947	103	67	58	86	64	66	64	
MtnA	2758	2665	2720	3287	2920	3308	3492	
CG8500	1021	891	645	993	851	992	721	
CG12945	1580	1594	979	1714	1525	1798	1596	
CG8507	3134	3433	2068	3346	2808	3544	3067	
CG8516	3541	3402	2020	3654	3143	3851	3253	
asRNA:CR46144	7	6	8	6	4	7	4	
CG9467	4176	4494	2845	4342	3557	4289	3470	
CG8526	3	19	9	12	18	11	14	
FBXO11	8953	9122	5075	10478	8605	10111	8070	
asRNA:CR44035	2	0	0	0	1	2	0	
CG8534	2	1	2	1	0	0	1	
eloF	1	2	0	2	0	2	0	
CG16904	0	0	0	0	0	0	0	
CG9459	3	0	2	0	0	1	0	
CG9458	10	29	37	4	6	6	1	
CG42857	0	0	0	0	1	0	0	
lncRNA:CR45790	1	0	0	1	0	0	0	
CG34302	0	0	0	0	0	0	0	
lncRNA:CR42858	0	1	0	0	0	1	0	
Teh1	293	239	177	269	222	216	173	
Glut4EF	2016	1996	1097	1908	1621	2042	1439	
lncRNA:CR45029	0	0	0	0	0	0	0	
Art4	8460	8497	5117	9713	8147	9204	7544	
mir-9371	0	0	0	0	0	0	0	
Gr85a	1	0	0	2	1	2	1	
Spn85F	9	6	6	51	62	62	58	
CG5359	331	263	209	440	439	494	438	
Mical	13018	12729	7351	20360	16650	17562	11586	
CG31407	0	1	1	1	2	0	0	
CG3909	2304	2112	1208	2353	2182	2400	2221	
CG11722	301	284	190	346	301	330	295	
mtTFB2	668	721	440	726	594	690	581	
CG12811	1070	1093	593	1091	945	1160	1126	
ohgt	2282	2349	1347	2427	2058	2457	2056	
Fancl	236	242	124	252	217	279	229	
asRNA:CR44192	0	3	0	0	0	0	0	
Npc2e	0	0	0	0	0	0	0	
Npc2d	20	6	0	0	0	8	0	
Npc2c	7	7	0	0	0	9	0	
asRNA:CR45205	0	0	1	0	0	0	0	
CR33629	0	0	0	0	0	0	0	
CG33630	0	1	0	1	0	2	1	
CG33631	0	0	0	0	0	0	0	
CG33783	1	0	0	0	0	0	0	
CG33784	0	0	0	0	0	0	0	
nerfin-2	122	119	63	74	66	76	64	
CG5361	0	0	0	0	1	0	16	
lncRNA:CR45054	3	2	4	5	2	5	1	
mir-317	0	0	0	0	0	0	0	
lncRNA:CR43459	29	26	26	19	24	21	9	
mir-277	0	0	0	0	0	0	0	
mir-34	0	0	0	0	0	0	0	
Fmr1	18035	19392	10456	20475	16855	20518	15602	
CG3940	1242	961	886	1044	1066	1096	963	
gammaSnap2	47	57	50	55	48	63	53	
ATPsynepsilonL	54	55	36	50	54	63	42	
knk	627	749	436	791	664	800	547	
asRNA:CR46038	0	0	0	0	0	0	0	
tws	11121	11759	6881	12676	10448	12848	10007	
TAF1B	1787	1710	1184	1848	1598	1898	1576	
CG42759	30	29	22	33	20	29	29	
Invadolysin	2690	2472	1723	2734	2424	2563	2025	
CG34303	1	2	2	4	2	3	0	
CG6254	1273	1276	910	1390	1221	1555	1322	
Best1	2102	2089	1305	1899	1662	2029	1666	
CG12814	4027	4172	2813	4689	3976	4573	3817	
Syn	3348	2759	2223	2929	2590	2764	2308	
Timp	496	444	319	410	316	406	323	
CG12420	24	25	15	31	29	24	11	
CG12817	222	180	145	214	192	191	174	
CG34107	0	1	0	1	1	0	1	
CG42795	1105	901	795	1052	928	924	509	
CG3999	177	529	89	235	148	248	285	
Sirt6	526	452	327	512	450	524	472	
pont	5733	5729	3414	6374	5542	6394	5840	
CG43143	3858	3847	2486	4304	3605	4084	2910	
tRNA:Ser-GCT-2-1	0	0	0	0	0	0	0	
CG6293	305	273	212	66	80	101	102	
Bruce	22837	22794	15142	25400	20865	23158	16016	
CG12818	340	352	214	421	367	412	376	
sle	8844	8296	6021	9880	8478	10006	8098	
CG12592	260	248	162	214	178	218	178	
CG18545	6	2	1	11	10	19	9	
CG31406	2	0	1	3	0	0	0	
jumu	9207	8528	6077	10038	8577	9917	8420	
Rfx	1677	1583	1082	1895	1604	1883	1301	
lncRNA:CR44938	1	7	5	5	5	7	9	
cwo	3669	3601	2196	3419	2798	3347	2701	
mthl11	0	2	1	1	5	2	2	
CG6325	2093	2086	1367	2342	1976	2197	1976	
mir-994	0	0	0	0	0	0	0	
mir-318	0	0	0	0	0	0	0	
Irp-1B	5847	6048	3302	6781	5739	6806	5427	
Rrp46	961	862	527	1033	907	920	842	
CG6345	443	479	323	545	456	536	447	
CG46270	0	0	0	0	1	0	1	
Cyp12e1	556	506	343	464	441	494	515	
lncRNA:CR44939	3	3	3	1	2	6	2	
lncRNA:CR44955	47	39	26	33	33	33	24	
lncRNA:CR45576	4	1	1	0	1	1	0	
hth	20874	22212	13261	24102	19648	21688	14081	
mir-4944	9	5	5	10	8	7	5	
asRNA:CR44018	167	130	94	144	133	110	74	
CG6465	2	17	1	10	7	4	12	
CG14688	121	124	44	103	85	91	38	
lncRNA:CR44230	2	2	0	0	1	0	1	
Skeletor	3586	3622	2086	4226	3328	4144	2986	
pug	1491	2228	820	1803	1560	1794	1695	
CG14683	3799	3275	2014	4319	3898	4355	4139	
CG31391	24	20	18	17	16	23	19	
CG31467	286	188	170	273	255	283	229	
CG14684	108	82	70	87	84	97	86	
CG31278	372	368	214	392	337	433	422	
CG31373	41	47	20	49	40	39	67	
CG14689	0	0	0	0	0	1	1	
CG4073	0	0	0	2	0	1	0	
tomboy20	0	0	0	1	1	0	2	
TkR86C	208	165	135	234	179	224	182	
CG14691	0	0	0	0	0	0	0	
CG31272	0	2	1	0	1	3	18	
asRNA:CR45015	0	0	0	0	0	0	0	
MED7	2513	2320	1476	2369	2142	2394	2155	
asRNA:CR45016	6	4	4	2	1	7	4	
Cap-H2	2670	2523	1940	2964	2568	2909	2131	
TfIIFbeta	1409	1412	756	1527	1316	1552	1462	
CG45076	901	950	368	1193	918	887	299	
fau	1	1	0	4	0	0	2	
CG45078	63	87	25	75	57	55	41	
Desi	1	1	0	4	3	1	1	
CG42633	12	7	4	20	14	12	5	
mRpL37	1577	1504	922	1778	1479	1784	1557	
Rbp1	5673	5240	3540	6332	5526	6005	5478	
Art1	10313	9870	5376	10876	9705	11828	10530	
Mcm5	5416	4906	3261	5386	4606	5533	4876	
CG14687	1308	1176	464	1387	1164	1382	957	
CG14692	12	13	19	17	18	14	16	
CG14693	2	5	2	4	0	1	3	
TTLL15	607	647	337	669	561	658	557	
Cad86C	6769	7004	3929	8234	6513	7830	5634	
CG42394	4265	4236	2912	4295	3738	4353	4124	
CG4565	100	87	57	74	76	106	86	
CG6567	749	790	444	866	758	853	772	
CG4511	6080	6253	3714	6944	5841	7098	6166	
CG4570	865	741	564	919	889	989	830	
CG14694	63	46	44	35	37	46	34	
CG6574	512	442	355	602	554	650	585	
SelR	1941	2046	1394	2258	1886	2015	1839	
Tsp86D	1962	2056	1076	2221	1883	2237	1829	
Fdh	10161	9704	5810	10692	9324	10447	9273	
CG4596	1081	1021	690	1113	1016	1084	890	
Sodh-2	75	67	35	43	44	57	55	
asRNA:CR45195	0	0	0	0	0	0	0	
CG14695	95	34	27	25	33	44	35	
Tpc1	1096	1007	663	1090	983	1162	989	
CG14696	1455	1329	937	1159	1040	1334	1245	
Leash	2023	2155	1091	2267	1905	2255	1941	
Adk3	1404	1593	864	1399	1193	1492	1405	
CG6621	3440	3184	2060	3533	3079	3309	2691	
lncRNA:CR45577	5	4	4	0	4	2	1	
lncRNA:CR45578	3	4	0	4	2	3	1	
Tengl4	0	0	0	0	1	0	2	
lncRNA:CR45561	0	1	0	0	0	0	0	
side-VI	1487	1242	938	1482	1278	1288	1004	
lncRNA:CR46007	0	0	0	1	0	0	0	
lncRNA:CR44940	0	0	0	0	0	0	1	
CG43449	1	0	0	2	0	1	0	
lncRNA:CR45579	0	0	0	0	0	0	2	
CG6629	0	1	0	1	0	0	0	
Ugt86Dd	20	9	14	18	25	17	20	
CG4706	1	1	0	3	1	2	2	
CheA86a	0	0	0	0	0	0	0	
Ugt86Di	650	418	209	819	740	868	969	
Ugt86Dc	6	6	5	13	10	13	6	
Ugt86Da	1599	1634	916	1995	1607	1930	1750	
CG4757	6	5	0	6	4	8	3	
Ugt86Dg	0	0	0	0	0	0	0	
Ugt86De	0	1	1	0	0	0	0	
Ugt35b	1	2	1	1	0	1	2	
Ugt35a	131	92	150	56	77	80	108	
Ugt86Dj	2	4	13	2	1	4	20	
Ugt86Dh	7	9	25	4	4	8	14	
CG18577	30	21	8	58	26	32	36	
cu	4001	3730	2624	2851	2923	3320	3176	
SdhC	3750	3405	1912	3885	3474	3807	3566	
Tctp	62602	63693	35471	65785	56749	68063	59880	
ZnT86D	2836	2944	1514	3258	2700	3239	2800	
RpS25	79648	78616	44328	78550	70340	86648	75050	
CG4820	526	531	294	561	458	525	485	
CG6689	791	763	518	858	749	850	735	
CG6693	4193	3734	2397	4039	3656	4254	3836	
RpL3	126386	126573	80116	125428	110034	129917	105923	
snoRNA:Me18S-C1096	0	0	0	0	0	0	0	
asRNA:CR31144	3	2	0	7	3	1	0	
snoRNA:Me18S-A425	0	0	0	0	0	0	0	
snoRNA:Psi28S-291	114	111	70	143	105	152	113	
snoRNA:Me28S-G2017	34	23	14	29	31	27	29	
scpr-C	21	16	28	14	11	9	7	
CG17726	326	310	184	354	313	361	314	
GCC88	2129	2233	1274	2279	1845	2250	2032	
CG17187	665	666	389	653	572	635	566	
CG14701	242	197	145	246	219	239	204	
Arfip	2898	3030	1709	3026	2679	2957	2627	
CG17721	801	741	433	836	690	789	754	
CG31441	330	314	222	381	305	391	359	
CG31388	817	774	422	898	794	930	762	
scpr-B	4	8	10	1	1	0	1	
scpr-A	9	15	30	0	5	2	0	
CG17734	1587	1644	1072	1790	1463	1759	1578	
CG5214	7333	7426	4596	6899	5527	6498	5302	
lncRNA:CR43283	34218	28477	24303	34763	30567	35875	14763	
lncRNA:CR31386	129	113	72	130	142	131	110	
lncRNA:TS25	0	1	0	0	0	0	0	
lncRNA:CR45055	0	0	1	2	0	0	0	
pros	61058	53592	41198	59731	50210	57351	22318	
lncRNA:CR46008	7	7	4	13	10	5	3	
KP78b	0	0	0	0	0	0	0	
KP78a	0	0	0	0	0	0	0	
lncRNA:CR46009	1	1	0	1	2	1	1	
lncRNA:CR46010	2	1	4	0	1	0	0	
mRpL40	715	662	415	790	698	714	645	
mgr	4733	4530	2664	5067	4292	4864	4485	
Irbp	759	589	437	663	603	744	680	
snoRNA:Irbp-a	0	1	0	0	2	0	0	
Ranbp9	6652	6408	3843	6958	5894	7047	5922	
CG6723	304	195	201	200	185	195	203	
CG45676	0	1	0	1	0	0	0	
ninaG	1	6	4	4	4	3	5	
CG5270	2104	2273	1313	2333	1897	2375	1727	
Dtd	167	151	92	137	133	169	147	
RpL24-like	7567	6565	4326	7260	6800	7815	6950	
CG5276	680	717	493	704	584	725	627	
Exd2	1798	1797	1029	1816	1465	1776	1588	
CG5281	665	618	359	446	419	478	402	
sals	718	630	346	625	504	515	254	
CG17230	1588	1537	952	1506	1375	1521	1303	
mir-4945	10	4	5	6	5	4	0	
PGRP-LB	210	244	352	128	133	159	140	
